FID,the_geom,UNIT_CODE,UNIT_NAME,STATUS,PLACE_NAME,ADM2_NAME,ADM1_NAME,LATITUDE,LONGITUDE,BEDS_OPEN,BEDS_PLAN,PLAN_OPEN,SUPPORTING,COMMENT,VALID_DATE,ACCURACY,CONT_NAME,CONT_EMAIL,CONT_PH
sle_heal_etu_pt_govt_etulocation.1,POINT (-13.280407348999972 8.42432100700006),SLE_ETU_0001,Goderich,Under Construction,Goderich-Adonkia/M,Western Area Rural,Western,8.424,-13.28,0,100,2014-12-15T00:00:00,EMERGENCY,,2014-11-10T00:00:00,Needs location validation,,,
sle_heal_etu_pt_govt_etulocation.2,POINT (-13.140651562999949 8.382141678000039),SLE_ETU_0002,Hastings,Under Construction,Hastings Village A,Western Area Rural,Western,8.382,-13.141,0,100,2014-12-08T00:00:00,RSLAF/KINGS,,2014-11-10T00:00:00,Needs location validation,,,
sle_heal_etu_pt_govt_etulocation.3,POINT (-13.125850928999967 8.382704501000035),SLE_ETU_0004,Police Training Sch-Hastings 1,Open,Hastings Village A,Western Area Rural,Western,8.383,-13.126,120,120,,MOH,,2014-11-10T00:00:00,Needs location validation,,,
sle_heal_etu_pt_govt_etulocation.4,POINT (-13.086370684999963 8.257095484000047),SLE_ETU_0005,Kerry Town,Open,Sattia/Tombo,Western Area Rural,Western,8.257,-13.086,10,100,,Save the Children,,2014-11-10T00:00:00,Needs location validation,,,
sle_heal_etu_pt_govt_etulocation.5,POINT (-12.762371739999935 8.776215518000072),SLE_ETU_0006,Port Loko ETU,Under Construction,Romaka,Port Loko,Northern,8.776,-12.762,0,100,2014-12-08T00:00:00,GOAL,,2014-11-10T00:00:00,Needs location validation,,,
sle_heal_etu_pt_govt_etulocation.6,POINT (-12.54400405399997 8.686825500000054),SLE_ETU_0007,Lunsar ETU,Under Construction,Lunsar-Technical,Port Loko,Northern,8.687,-12.544,0,100,2014-11-21T00:00:00,IMC,,2014-11-10T00:00:00,Needs location validation,,,
sle_heal_etu_pt_govt_etulocation.7,POINT (-12.412037406999957 8.176575114000059),SLE_ETU_0008,Moyamba ETU,Under Construction,Mosoe,Moyamba,Southern,8.177,-12.412,0,100,2014-12-15T00:00:00,MDM,,2014-11-10T00:00:00,Needs location validation,,,
sle_heal_etu_pt_govt_etulocation.8,POINT (-12.030972037999959 8.798044033000053),SLE_ETU_0009,Makeni TU,Under Construction,Konta,Bombali,Northern,8.798,-12.031,0,100,2014-12-08T00:00:00,IOM,,2014-11-10T00:00:00,Needs location validation,,,
sle_heal_etu_pt_govt_etulocation.9,POINT (-13.14954849399993 8.386860908000074),SLE_ETU_0010,"China-SL Friendship Hospital, Jui",Open,Hastings Village A,Western Area Rural,Western,8.387,-13.15,2,2,,Chinese CDC,,2014-11-10T00:00:00,Needs location validation,,,
sle_heal_etu_pt_govt_etulocation.10,POINT (-13.263550194409074 8.397366507095724),SLE_ETU_0011,Lakka Hospital ETU,Open,Hamilton,Western Area Rural,Western,8.397,-13.264,12,17,,Emergency / MOH,,2014-11-10T00:00:00,British Red Cross - GPS,,,
sle_heal_etu_pt_govt_etulocation.11,POINT (-10.557599976149035 8.298460000417975),SLE_ETU_0012,Kailahun,Open,Luawa Foguiya,Kailahun,Eastern,8.298,-10.558,72,72,,MSF,,2014-11-10T00:00:00,MSF - GPS,,,
sle_heal_etu_pt_govt_etulocation.12,POINT (-11.115603010725716 8.005088000185715),SLE_ETU_0013,Rural Kenema Field Hospital,Open,Kona Kpindibu,Kenema,Eastern,8.005,-11.116,25,25,,IFRC,,2014-11-10T00:00:00,British Red Cross - GPS,,,
sle_heal_etu_pt_govt_etulocation.13,POINT (-10.95946422999998 8.63389924200004),SLE_ETU_0014,Kono - Koidu Town,Planned,Tankoro,Kono,Eastern,8.634,-10.959,0,40,2014-11-30T00:00:00,Well Body/ Partners in Health,,2014-11-10T00:00:00,Needs location validation,,,
sle_heal_etu_pt_govt_etulocation.14,POINT (-11.669699882462485 7.941039937028553),SLE_ETU_0015,Bo,Open,Bo,Bo,Southern,7.941,-11.67,50,50,,MSF,,2014-11-17T00:00:00,MSF - GPS,,,
sle_heal_etu_pt_govt_etulocation.15,POINT (-13.07354799999996 8.33562100000006),SLE_ETU_0017,AHS - Waterloo Hospital,Under Construction,Waterloo Village A,Western Area Rural,Western,8.336,-13.074,0,80,2014-11-16T00:00:00,MOH / MSF,Also referred to as ADRA hospital,2014-11-10T00:00:00,Needs location validation,,,
sle_heal_etu_pt_govt_etulocation.16,POINT (-12.058446999999944 8.846110000000067),SLE_ETU_0020,Magbenteh Hospital,Open,Kagbaran Dokom   B,Bombali,Northern,8.846,-12.058,110,110,2014-11-16T00:00:00,MoH/ADAX/AU/WAHO,,2014-11-10T00:00:00,Needs location validation,,,
sle_heal_etu_pt_govt_etulocation.17,POINT (-13.008914999999945 8.335112000000038),SLE_ETU_0021,HIM - Newton,Planned,Newton,Western Area Rural,Western,8.335,-13.009,0,120,2015-01-15T00:00:00,?,,2014-11-10T00:00:00,Needs location validation,,,
sle_heal_etu_pt_govt_etulocation.18,POINT (-13.125850928999967 8.382704501000035),SLE_ETU_0022,Police Training Sch-Hastings 2,Under Construction,Hastings Village A,Western Area Rural,Western,8.383,-13.126,0,200,2014-11-24T00:00:00,MOH,,2014-11-10T00:00:00,Needs location validation,,,
sle_heal_etu_pt_govt_etulocation.19,POINT (-12.796858999999927 8.77357100000006),SLE_ETU_0023,Maforki ETU,Open,Sendugu,Port Loko,Northern,8.774,-12.797,22,40,,MoH / Cuba / Plan,Also known as former Red Cross Vocational Centre,2014-11-14T00:00:00,Needs location validation,,,
